time,min_depth,max_depth,failure
1.25353e+07,3.3,3.4,1
1.25362e+07,3.3,3.4,1
1.2538e+07,3.3,3.4,1
1.25389e+07,3.3,3.4,1
1.25398e+07,3.3,3.4,1
1.25407e+07,3.3,3.4,1
1.25416e+07,3.3,3.4,1
1.25425e+07,3.3,3.4,1
1.25434e+07,3.3,3.4,1
1.25443e+07,3.3,3.4,1
1.25452e+07,3.3,3.4,1
1.2547e+07,3.3,3.4,1
1.25479e+07,3.3,3.4,1
1.25488e+07,3.3,3.4,1
1.25497e+07,3.3,3.4,1
1.25524e+07,3.3,3.4,1
1.25533e+07,3.3,3.4,1
1.25569e+07,3.3,3.4,1
1.25578e+07,3.3,3.4,1
1.25623e+07,3.3,3.4,1
1.25866e+07,3.3,3.4,1
1.25875e+07,3.3,3.4,1
1.25884e+07,3.3,3.4,1
1.25893e+07,3.3,3.4,1
1.25902e+07,3.3,3.4,1
1.25911e+07,3.3,3.4,1
1.25938e+07,3.3,3.4,1
1.25947e+07,3.3,3.4,1
1.25956e+07,3.3,3.4,1
1.25965e+07,3.3,3.4,1
1.25974e+07,3.3,3.4,1
1.25983e+07,3.3,3.4,1
1.25992e+07,3.3,3.4,1
1.26001e+07,3.3,3.4,1
1.2601e+07,3.3,3.4,1
1.2628e+07,3.3,3.4,1
1.26289e+07,3.3,3.4,1
1.26307e+07,3.3,3.4,1
1.26316e+07,3.3,3.4,1
1.27657e+07,3.3,3.4,1
1.27666e+07,3.3,3.4,1
1.27693e+07,3.3,3.4,1
1.27702e+07,3.3,3.4,1
1.2781e+07,3.3,3.4,1
1.27819e+07,3.3,3.4,1
1.28215e+07,3.3,3.4,1
1.28224e+07,3.3,3.4,1
1.28278e+07,3.3,3.4,1
1.28296e+07,3.3,3.4,1
1.28431e+07,3.3,3.4,1
1.28467e+07,3.3,3.4,1
1.28485e+07,3.3,3.4,1
1.28494e+07,3.3,3.4,1
1.2853e+07,3.3,3.4,1
1.28539e+07,3.3,3.4,1
1.28548e+07,3.3,3.4,1
1.28557e+07,3.3,3.4,1
1.28566e+07,3.3,3.4,1
1.28575e+07,3.3,3.4,1
1.28584e+07,3.3,3.4,1
1.28665e+07,3.3,3.4,1
1.28674e+07,3.3,3.4,1
1.28791e+07,3.3,3.4,1
1.288e+07,3.3,3.4,1
1.28809e+07,3.3,3.4,1
1.28818e+07,3.3,3.4,1
1.28827e+07,3.3,3.4,1
1.28899e+07,3.3,3.4,1
1.28908e+07,3.3,3.4,1
1.29376e+07,3.3,3.4,1
1.29385e+07,3.3,3.4,1
1.29394e+07,3.3,3.4,1
1.29403e+07,3.3,3.4,1
1.2943e+07,3.3,3.4,1
1.29457e+07,3.3,3.4,1
1.29466e+07,3.3,3.4,1
1.29511e+07,3.3,3.4,1
1.2952e+07,3.3,3.4,1
1.29529e+07,3.3,3.4,1
1.29574e+07,3.3,3.4,1
1.29583e+07,3.3,3.4,1
1.29601e+07,3.3,3.4,1
1.2961e+07,3.3,3.4,1
1.29637e+07,3.3,3.4,1
1.29646e+07,3.3,3.4,1
1.29673e+07,3.3,3.4,1
1.29682e+07,3.3,3.4,1
1.29772e+07,3.3,3.4,1
1.29781e+07,3.3,3.4,1
1.29862e+07,3.3,3.4,1
1.29871e+07,3.3,3.4,1
1.29934e+07,3.3,3.4,1
1.29952e+07,3.3,3.4,1
1.29961e+07,3.3,3.4,1
1.2997e+07,3.3,3.4,1
1.29979e+07,3.3,3.4,1
1.29988e+07,3.3,3.4,1
1.30006e+07,3.3,3.4,1
1.30024e+07,3.3,3.4,1
1.30033e+07,3.3,3.4,1
1.30042e+07,3.3,3.4,1
1.30051e+07,3.3,3.4,1
1.30708e+07,3.3,3.4,1
1.30717e+07,3.3,3.4,1
1.30753e+07,3.3,3.4,1
1.30807e+07,3.3,3.4,1
1.30816e+07,3.3,3.4,1
1.31401e+07,3.3,3.4,1
1.3141e+07,3.3,3.4,1
1.31437e+07,3.3,3.4,1
1.31455e+07,3.3,3.4,1
1.31464e+07,3.3,3.4,1
1.31473e+07,3.3,3.4,1
1.31482e+07,3.3,3.4,1
1.315e+07,3.3,3.4,1
1.31509e+07,3.3,3.4,1
1.31518e+07,3.3,3.4,1
1.31527e+07,3.3,3.4,1
1.31536e+07,3.3,3.4,1
1.31599e+07,3.3,3.4,1
1.31608e+07,3.3,3.4,1
1.31617e+07,3.3,3.4,1
1.31626e+07,3.3,3.4,1
1.31635e+07,3.3,3.4,1
