FoS,days,distance_m_from_calib_to_test_point,day_of_failure,anomalous_failure
-12.893089,547,,,
-12.248848,548,,,
-11.669281,549,,,
-11.120697,550,,,
-10.607071,551,,,
-10.120499,552,,,
-9.656395,553,,,
-9.212112,554,,,
-8.791931,555,,,
-8.376602,556,,,
-7.982712,557,,,
-7.596054,558,,,
-7.2239914,559,,,
-6.874527,560,,,
-6.514553,561,,,
-6.170269,562,,,
-5.8354683,563,,,
-5.5090866,564,,,
-5.1905937,565,,,
-4.8798294,566,,,
-8.384705,567,,,
-14.457718,568,,,
-27.301353,569,,,
-23.480362,570,,,
-16.435913,571,,,
-14.046959,572,,,
-12.447174,573,,,
-11.262276,574,,,
-10.309784,575,,,
-9.507797,576,,,
-10.016281,577,,,
-8.745628,578,,,
-8.075348,579,,,
-7.609993,580,,,
-7.011467,581,,,
-6.5185356,582,,,
-6.0660477,583,,,
-6.0798492,584,,,
-5.8348503,585,,,
-23.457474,586,,,
-20.686577,587,,,
-32.31504,588,,,
-24.345299,589,,,
-18.73861,590,,,
-21.84732,591,,,
-35.288315,592,,,
-41.480705,593,,,
-28.07885,594,,,
-24.125923,595,,,
-30.17788,596,,,
-23.519157,597,,,
-39.411194,598,,,
-27.510109,599,,,
-24.265678,600,,,
-22.378746,601,,,
-20.617088,602,,,
-19.256897,603,,,
-20.843796,604,,,
-18.302948,605,,,
-17.118912,606,,,
-16.15551,607,,,
-15.313416,608,,,
-14.554695,609,,,
-13.859879,610,,,
-13.216522,611,,,
-20.29686,612,,,
-32.810402,613,,,
-22.417137,614,,,
-22.507088,615,,,
-19.353409,616,,,
-24.419144,617,,,
-21.933846,618,,,
-19.335907,619,,,
-17.568665,620,,,
-16.40805,621,,,
-15.495293,622,,,
-15.3778305,623,,,
-14.255486,624,,,
-13.520874,625,,,
-12.855064,626,,,
-12.273506,627,,,
-29.98217,628,,,
-19.861397,629,,,
-17.168884,630,,,
-33.94319,631,,,
-40.923958,632,,,
-27.996399,633,,,
-25.004272,634,,,
-22.398438,635,,,
-20.694168,636,,,
-19.80262,637,,,
-18.491325,638,,,
-25.170021,639,,,
-22.932617,640,,,
-19.677544,641,,,
-19.430466,642,,,
-22.777596,643,,,
-19.070648,644,,,
-28.980453,645,,,
-21.624702,646,,,
-37.86241,647,,,
-44.585518,648,,,
-39.613968,649,,,
-31.333588,650,,,
-28.331734,651,,,
-44.29506,652,,,
-50.66062,653,,,
-37.197403,654,,,
-33.166977,655,,,
-30.540512,656,,,
-39.38745,657,,,
-50.00345,658,,,
-39.927605,659,,,
-53.11287,660,,,
-40.283936,661,,,
-36.424515,662,,,
-33.932167,663,,,
-31.916115,664,,,
-30.294472,665,,,
-37.715767,666,,,
-49.840332,667,,,
-49.161903,668,,,
-48.65827,669,,,
-40.969063,670,,,
-37.278267,671,,,
-34.918312,672,,,
-33.086586,673,,,
-31.631157,674,,,
-30.360413,675,,,
-29.169235,676,,,
-28.144974,677,,,
-27.164993,678,,,
-26.3171,679,,,
-25.478523,680,,,
-24.71106,681,,,
-23.99215,682,,,
-23.313889,683,,,
-22.73378,684,,,
-22.12278,685,,,
-21.514809,686,,,
-20.950836,687,,,
-20.41243,688,,,
-22.711151,689,,,
-38.91182,690,,,
-36.091057,691,,,
-32.662292,692,,,
-44.715576,693,,,
-35.879585,694,,,
-49.82524,695,,,
-55.691864,696,,,
-42.03385,697,,,
-37.887054,698,,,
-35.20768,699,,,
-33.19979,700,,,
-31.582275,701,,,
-30.220818,702,,,
-29.044083,703,,,
-27.995682,704,,,
-27.053566,705,,,
-26.205254,706,,,
-25.408714,707,,,
-26.410217,708,,,
-24.7546,709,,,
-23.931183,710,,,
-23.22963,711,,,
-22.657051,712,,,
-22.186798,713,,,
-24.854744,714,,,
-22.523804,715,,,
-21.629738,716,,,
-20.966728,717,,,
-20.55114,718,,,
-19.921196,719,,,
-19.407524,720,,,
-18.930054,721,,,
-18.479012,722,,,
-18.049004,723,,,
-17.636032,724,,,
-17.238434,725,,,
-16.854431,726,,,
-16.482521,727,,,
-16.121574,728,,,
-15.770767,729,,,
-15.455521,730,,,
-15.145958,731,,,
-33.065506,732,,,
-40.815445,733,,,
-30.224472,734,,,
-40.315422,735,,,
-48.55806,736,,,
-37.703354,737,,,
-32.776344,738,,,
-30.350838,739,,,
-31.408516,740,,,
-28.22406,741,,,
-30.093987,742,,,
-26.957436,743,,,
-25.820747,744,,,
-25.37693,745,,,
-25.978943,746,,,
-24.043945,747,,,
-25.049805,748,,,
-23.255173,749,,,
-22.258255,750,,,
-21.494713,751,,,
-21.465744,752,,,
-24.828552,753,,,
-22.850761,754,,,
-21.323746,755,,,
-20.48909,756,,,
-19.77562,757,,,
-19.174675,758,,,
-18.63498,759,,,
-18.265976,760,,,
-17.922157,761,,,
-17.36528,762,,,
-16.924126,763,,,
-16.513206,764,,,
-16.145363,765,,,
-15.762566,766,,,
-15.401367,767,,,
-15.185539,768,,,
-15.196587,769,,,
-14.759918,770,,,
-15.864189,771,,,
-17.894028,772,,,
-17.998596,773,,,
-32.477562,774,,,
-40.74893,775,,,
-46.561615,776,,,
-33.163803,777,,,
-29.330742,778,,,
-31.910027,779,,,
-27.432953,780,,,
-26.095383,781,,,
-24.436485,782,,,
-23.783234,783,,,
-31.069908,784,,,
-25.404976,785,,,
-29.686905,786,,,
-43.494408,787,,,
-32.253754,788,,,
-38.194603,789,,,
-43.702446,790,,,
-52.60273,791,,,
-39.4982,792,,,
-53.93933,793,,,
-41.28469,794,,,
-38.4525,795,,,
-53.76528,796,,,
-44.20144,797,,,
-41.67486,798,,,
-47.763573,799,,,
-40.141808,800,,,
-37.457237,801,,,
-53.754204,802,,,
-60.27189,803,,,
-46.993217,804,,,
-45.21077,805,,,
-45.706673,806,,,
-55.008224,807,,,
-46.861984,808,,,
-42.703796,809,,,
-40.455124,810,,,
-38.961227,811,,,
-55.528236,812,,,
-62.275024,813,,,
-49.335632,814,,,
-45.314865,815,,,
-42.74218,816,,,
-41.17859,817,,,
-39.7818,818,,,
-38.17077,819,,,
-36.905106,820,,,
-36.036354,821,,,
-36.865875,822,,,
-35.354485,823,,,
-34.053093,824,,,
-33.08551,825,,,
-32.266212,826,,,
-31.495811,827,,,
-40.72177,828,,,
-40.142464,829,,,
-46.419083,830,,,
-52.13131,831,,,
-42.2117,832,,,
-39.25676,833,,,
-37.83509,834,,,
-36.07425,835,,,
-34.811363,836,,,
-33.80111,837,,,
-32.920692,838,,,
-32.230835,839,,,
-31.389923,840,,,
-30.634567,841,,,
-29.97065,842,,,
-29.575668,843,,,
