,alpha,D_0,K_sat,d,Iz_over_K_steady,friction_angle,cohesion,weight_of_water,weight_of_soil,time_of_failure,S,Z,row,col,insar_failtime,insar_prefailtime
948,0.12562950784492538,3.883518873949933e-05,1.7481697267104494e-07,1.5393700288919558,0.3078123568564617,0.4866179455039822,4647.591038473292,9800.13834528261,20483.24345955225,1641600.0,0.122270286,678.38293,549,1031,2764800.0,0.0
949,0.11919199514718642,4.90355793772872e-05,1.4254635473465221e-07,1.774816846849646,0.5999670161530026,0.4060118318756737,4567.985427810185,9800.632877529364,24476.01109730921,432000.0,0.122270286,678.38293,549,1031,2764800.0,0.0
950,0.12252758505982485,2.379906210220972e-05,8.959602235281742e-08,1.0917669281238298,0.5437142122056348,0.31368523330744025,6898.195471043213,9800.503126880312,14738.023525122977,1814400.0,0.122270286,678.38293,549,1031,2764800.0,0.0
951,0.1187117502833603,2.6238829015488614e-05,6.274476247599982e-08,0.8437152459743066,0.5940822999122595,0.5053824396425124,7169.071720246479,9800.488873933602,20732.51079538424,1641600.0,0.122270286,678.38293,549,1031,2764800.0,0.0
952,0.12381007481975866,2.3615139453987336e-05,1.7837162645697373e-08,2.043760102369033,0.7217269242678823,0.4725288301101859,17519.9799834999,9800.342715030303,22535.890322054067,2592000.0,0.122270286,678.38293,549,1031,2764800.0,0.0
953,0.15197469702465424,1.708603300103799e-05,3.7299948631933006e-08,2.2897899094164806,0.11034385580934968,0.3778167246162053,9996.384706088367,9800.200050964237,15017.152653906793,5529600.0,0.14920989,680.86426,549,1041,8294400.0,5356800.0
954,0.15178458224213556,3.026152393530229e-05,3.8484373544337365e-08,1.8172761056684261,0.2839082445677017,0.2144019768448797,9741.563601617912,9800.653063054708,15658.640631561046,5529600.0,0.14920989,680.86426,549,1041,8294400.0,5356800.0
955,0.07234486685149066,5.846614017549137e-05,1.758427211753056e-07,1.3741196547692254,0.26536688303693345,0.4378405579402696,6014.88208584906,9800.77906129244,23189.08391560948,1641600.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
956,0.07693679063460795,4.533906249103438e-05,2.809103616581615e-07,0.9622320462165224,0.13120408513306714,0.4101508945774332,5035.062086525895,9800.464110578268,22767.82040724328,1728000.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
957,0.07416403331344285,5.254664053904386e-05,1.680736955156611e-08,1.9092527903642142,0.1165179768377385,0.2348950110068357,5157.101674592498,9800.711447498335,17256.865748323602,1728000.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
958,0.04234887771571631,5.159262403164347e-05,3.434632094534117e-08,1.1424623092712354,0.490206355062674,0.2478623830402214,7614.584762181966,9800.608876792823,15768.492809012827,1728000.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
959,0.042441768246540286,3.1058400623750035e-05,3.0955846795212986e-07,1.426478409534382,0.5830877600056327,0.4720030468173466,4056.106271655555,9800.090540408932,15595.926686601084,1728000.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
960,0.04418316221623508,3.631518443690548e-05,1.0636413141481339e-07,0.7486921509874994,0.11932488107579435,0.3272910276886578,5824.1133543292235,9800.067427833796,13815.610759417512,1641600.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
961,0.041771330557393814,2.4834291859218318e-05,2.3786642255172515e-08,1.7360882813831884,0.3229303779197956,0.3142833883885101,4109.620495328697,9800.501163039262,28889.4372191215,1728000.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
962,0.04181703195903522,1.6412005756518666e-05,1.1440096301398476e-08,2.1305977752416325,0.1118850974347502,0.3437112422691958,5816.042070473566,9800.914001547122,18430.557269122106,2332800.0,0.04256537,759.1599,550,1009,2764800.0,-1.0
963,0.057760715406917414,5.535942498758465e-06,2.7319721318315302e-08,2.0295618186971898,0.3289430474966409,0.6266536912907312,10277.04530921312,9800.4577656415,20924.917177664298,7430400.0,0.05699574,605.23676,551,1110,8294400.0,5356800.0
964,0.058115939225285476,9.485162922824705e-06,1.8344467516481366e-08,1.5042418783531546,0.7844348612686591,0.27877324452112484,9637.576569101522,9800.951621562896,27584.974611044716,7430400.0,0.05699574,605.23676,551,1110,8294400.0,5356800.0
965,0.056461798303287764,2.7251612096680582e-06,1.3541703307263127e-08,0.7726142883286525,0.5388141518844589,0.4502568101524838,8006.989479389724,9800.610123738974,17462.158609918144,7430400.0,0.05699574,605.23676,551,1110,8294400.0,5356800.0
966,0.07560119873512637,1.123731951114464e-05,1.3527731904913679e-08,1.632849092935991,0.7022874018139604,0.29859248620830314,12829.455338943879,9800.332558352446,15556.898903844773,9244800.0,0.13395691,681.30634,552,940,9676800.0,5356800.0
967,0.07474855225873332,2.9952879708480868e-06,1.9982958766829814e-08,0.7873252661494643,0.6482454367883017,0.4170170242248107,7661.148417610522,9800.100066302648,24995.083563559907,9590400.0,0.13395691,681.30634,552,940,9676800.0,5356800.0
968,0.13121591426925125,9.816270364796896e-06,1.1226914296160971e-08,0.6326684891466379,0.4074300658853193,0.282994379622665,11794.07895977693,9800.817373467791,23087.857195705317,7430400.0,0.13395691,681.30634,552,940,9676800.0,5356800.0
969,0.08553250033238524,4.716976088627061e-05,9.502461616648438e-08,0.5745064857989362,0.4452027467987394,0.2267037023295992,13585.06565289426,9800.51120321121,20805.299529957574,7430400.0,0.08228503,597.52313,552,1116,8294400.0,5356800.0
970,0.07918449361409442,1.3645211374004988e-05,3.2002782749231865e-08,1.9944311851659715,0.3771610207164961,0.4533744736125547,12949.648848166296,9800.67852623555,21261.029507375108,5529600.0,0.08228503,597.52313,552,1116,8294400.0,5356800.0
971,0.07234486685149066,5.846614017549137e-05,1.758427211753056e-07,1.3741196547692254,0.26536688303693345,0.4378405579402696,6014.88208584906,9800.77906129244,23189.08391560948,1641600.0,0.035464287,493.34256,552,1210,2764800.0,0.0
972,0.07693679063460795,4.533906249103438e-05,2.809103616581615e-07,0.9622320462165224,0.13120408513306714,0.4101508945774332,5035.062086525895,9800.464110578268,22767.82040724328,1728000.0,0.035464287,493.34256,552,1210,2764800.0,0.0
973,0.07416403331344285,5.254664053904386e-05,1.680736955156611e-08,1.9092527903642142,0.1165179768377385,0.2348950110068357,5157.101674592498,9800.711447498335,17256.865748323602,1728000.0,0.035464287,493.34256,552,1210,2764800.0,0.0
974,0.03380274798531668,6.485550686073206e-05,3.4145820500906467e-07,1.8453620393238612,0.3461137594365261,0.39094943107539415,4713.286323336362,9800.164027357234,19965.52678005459,1728000.0,0.035464287,493.34256,552,1210,2764800.0,0.0
975,0.035668516456681114,5.7162359990110034e-05,3.58292434747078e-08,1.1278711408841264,0.2031092164902274,0.4786811977221949,6289.434867575874,9800.597680563871,28574.3208755718,1209600.0,0.035464287,493.34256,552,1210,2764800.0,0.0
976,0.035028681949948716,2.4003294448666e-05,6.188025703931253e-08,1.6954136129899036,0.5144172145984908,0.3419039528826783,3905.0916277640204,9800.225344838847,14095.797698382374,1641600.0,0.035464287,493.34256,552,1210,2764800.0,0.0
977,0.03675248636792836,4.4076283200527376e-05,1.3455426962246093e-08,2.043365631460819,0.6052372554259376,0.4519168091270187,7721.851628747044,9800.432242403935,18440.21767202921,1209600.0,0.035464287,493.34256,552,1210,2764800.0,0.0
978,0.036258842212586066,9.674332761210222e-05,2.904623970180936e-07,1.0624970860815848,0.13579007952081365,0.34359793787580795,7507.420178097667,9800.787921521876,17081.524103041513,1728000.0,0.035464287,493.34256,552,1210,2764800.0,0.0
979,0.03436795760830428,8.737410388318552e-05,1.0549991383426553e-07,2.9452597938005964,0.4589664321048138,0.4149631923679323,15462.928900419758,9800.053506269258,23690.574624543697,1814400.0,0.035464287,493.34256,552,1210,2764800.0,0.0
980,0.07560119873512637,1.123731951114464e-05,1.3527731904913679e-08,1.632849092935991,0.7022874018139604,0.29859248620830314,12829.455338943879,9800.332558352446,15556.898903844773,9244800.0,0.14829831,669.04193,554,1052,9676800.0,5356800.0
981,0.07474855225873332,2.9952879708480868e-06,1.9982958766829814e-08,0.7873252661494643,0.6482454367883017,0.4170170242248107,7661.148417610522,9800.100066302648,24995.083563559907,9590400.0,0.14829831,669.04193,554,1052,9676800.0,5356800.0
982,0.14109519043044064,2.8679487148791147e-06,2.0391458581643758e-08,2.4572260470072536,0.8461246407666103,0.3804237594528165,6924.903028049192,9800.728912672515,14975.014031908233,9590400.0,0.14829831,669.04193,554,1052,9676800.0,5356800.0
983,0.1475469084508675,1.0734717397810898e-05,1.506929149374967e-08,1.5772793243675522,0.3853046174230304,0.3861724772403467,15609.976393694564,9800.494034057028,18720.392920457616,9590400.0,0.14829831,669.04193,554,1052,9676800.0,5356800.0
984,0.14416987564870445,1.6400270532688003e-05,2.1614920225857318e-08,0.9071597482338102,0.6717147416118969,0.22690983562291156,12048.744597893165,9800.786653139376,23955.963659056128,9590400.0,0.14829831,669.04193,554,1052,9676800.0,5356800.0
985,0.04414960689236472,1.2654415120881308e-05,4.975103522999269e-08,2.2636873481941007,0.2486856651905289,0.27055370253622896,5100.6227353736385,9800.191906250537,18043.96707360436,5529600.0,0.042943873,609.9606,554,1095,8294400.0,5356800.0
986,0.04181576428272157,4.3018059238082464e-05,1.1166840009670034e-07,2.211302262129697,0.3307895910833726,0.2117253591917814,8714.16533638306,9800.250322517097,21179.81579784414,7430400.0,0.042943873,609.9606,554,1095,8294400.0,5356800.0
987,0.07560119873512637,1.123731951114464e-05,1.3527731904913679e-08,1.632849092935991,0.7022874018139604,0.29859248620830314,12829.455338943879,9800.332558352446,15556.898903844773,9244800.0,0.31882897,660.3848,555,1051,9676800.0,5356800.0
988,0.07474855225873332,2.9952879708480868e-06,1.9982958766829814e-08,0.7873252661494643,0.6482454367883017,0.4170170242248107,7661.148417610522,9800.100066302648,24995.083563559907,9590400.0,0.31882897,660.3848,555,1051,9676800.0,5356800.0
989,0.33249661949131737,4.821801317645029e-06,2.1421820571382476e-08,2.401913340152636,0.5702700237801869,0.5106783908113102,11011.299171641533,9800.66673710516,15058.636349403068,9590400.0,0.31882897,660.3848,555,1051,9676800.0,5356800.0
990,0.07234486685149066,5.846614017549137e-05,1.758427211753056e-07,1.3741196547692254,0.26536688303693345,0.4378405579402696,6014.88208584906,9800.77906129244,23189.08391560948,1641600.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
991,0.07693679063460795,4.533906249103438e-05,2.809103616581615e-07,0.9622320462165224,0.13120408513306714,0.4101508945774332,5035.062086525895,9800.464110578268,22767.82040724328,1728000.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
992,0.07416403331344285,5.254664053904386e-05,1.680736955156611e-08,1.9092527903642142,0.1165179768377385,0.2348950110068357,5157.101674592498,9800.711447498335,17256.865748323602,1728000.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
993,0.09528823472119206,4.356483240653886e-05,8.976995132989324e-08,2.0566676702854925,0.5049183484292445,0.4664547158643635,5930.377581541796,9800.127614563737,25952.56647157,1641600.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
994,0.08930568746224538,1.5108389698879676e-05,1.4098709656789595e-08,0.8992523967261116,0.5204000452549864,0.4186008196793869,4301.387381208897,9800.667737173753,19223.900053887643,1641600.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
995,0.08906888065771511,6.745887788678394e-05,2.05341304355483e-08,1.4205556488285969,0.617680823239492,0.3285077639608673,7091.949454959459,9800.55435955246,23972.28643579835,1209600.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
996,0.0917727874664218,3.580805970805461e-05,1.1954610069601787e-07,1.413873283847995,0.15289281835869956,0.38187147811016775,7172.320476324939,9800.038329388402,18630.25719818379,1728000.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
997,0.09066136110392917,3.716390245569569e-05,4.692631592253638e-08,0.9436869789623475,0.13114630091974572,0.5283163408861906,5572.267946297725,9800.1196134823,13034.20302977177,432000.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
998,0.09041113702359428,4.509661268161691e-05,1.285080232177844e-08,2.316914995645688,0.22827820623906356,0.237876644033048,11462.45950247806,9800.804804772271,23360.105517301392,2678400.0,0.09303748,754.30084,556,1008,2764800.0,-1.0
999,0.1390778216932482,1.2600232038762116e-05,3.2758341482302454e-08,2.5148585102713654,0.37988269168812616,0.32131151624887033,8154.064448398796,9800.709853096612,16586.251499283208,7344000.0,0.14181441,720.7292,557,926,8294400.0,5356800.0
